param_idx,float32,int8_dequant,layer
0,-0.4007139731572768,-0.4007139731572768,1
1,0.43203853201213727,0.43203853201213727,1
2,0.5881776332225366,0.5881776332225366,1
3,0.36531106090009857,0.36531106090009857,1
4,-0.14340944631200128,-0.14340944631200128,1
5,-0.13961902722362846,-0.13961902722362846,1
6,-0.4806378927118216,-0.4806378927118216,1
7,0.7476515136046246,0.7476515136046246,1
8,-0.07525400668429527,-0.07525400668429527,1
9,0.11172565940268299,0.11172565940268299,1
10,-0.4769835650669691,-0.4769835650669691,1
11,0.8530937394937775,0.8530937394937775,1
12,0.8075807470552038,0.8075807470552038,1
13,-0.0734333542608698,-0.0734333542608698,1
14,-0.3155740037949689,-0.3155740037949689,1
15,-0.20899221582389482,-0.20899221582389482,1
16,-0.500509026193914,-0.500509026193914,1
17,-0.14919937530388544,-0.14919937530388544,1
18,0.2084094169222902,0.2084094169222902,1
19,-0.04464148980959953,-0.04464148980959953,1
20,0.4758240588723385,0.4758240588723385,1
21,-0.159536812467158,-0.159536812467158,1
22,-0.16355113106395355,-0.16355113106395355,1
23,0.0811161862012781,0.0811161862012781,1
24,-0.23952491859871045,-0.23952491859871045,1
25,0.23404916180988874,0.23404916180988874,1
26,-0.36310414925876416,-0.36310414925876416,1
27,0.0966143650941947,0.0966143650941947,1
28,0.5030119972483098,0.5030119972483098,1
29,-0.3128064590167643,-0.3128064590167643,1
30,0.2600912260876038,0.2600912260876038,1
31,-0.2543882881998432,-0.2543882881998432,1
32,-0.8204994884459464,-0.8204994884459464,1
33,0.43035855053377403,0.43035855053377403,1
34,0.9045384416886807,0.9045384416886807,1
35,0.6496756678881755,0.6496756678881755,1
36,0.0586314404731007,0.0586314404731007,1
37,-0.21888969068834846,-0.21888969068834846,1
38,0.3695360248277852,0.3695360248277852,1
39,0.16841610090022358,0.16841610090022358,1
