bin_center,float32_count,int8_count
-1.7659666996234886,1,1
-1.475854200820455,0,0
-1.1857417020174217,2,1
-0.8956292032143883,3,3
-0.6055167044113549,5,4
-0.3154042056083215,5,5
-0.025291706805288028,14,21
0.26482079199774544,9,8
0.5549332908007787,2,1
0.8450457896038122,2,2
1.1351582884068456,6,4
1.4252707872098789,3,2
1.7153832860129123,1,1
2.0054957848159463,3,3
2.2956082836189795,0,0
2.5857207824220128,0,0
2.875833281225046,0,0
3.1659457800280792,0,0
3.456058278831113,0,0
3.7461707776341466,1,1
